src_field,dst_file,dst_field
project_id,datapackage.json,project.id
project_name,datapackage.json,project.title
deployment_end,deployments.csv,deploymentEnd
deployment_id,deployments.csv,deploymentID
deployment_start,deployments.csv,deploymentStart
latitude,deployments.csv,latitude
longitude,deployments.csv,longitude
deployment_id,media.csv,deploymentID
best_detection_capture_url,media.csv,filePath
capture_id,media.csv,mediaID
timestamp,media.csv,timestamp
best_detection_height,observations.csv,bboxHeight
best_detection_width,observations.csv,bboxWidth
best_detection_x,observations.csv,bboxX
best_detection_y,observations.csv,bboxY
deployment_id,observations.csv,deploymentID
last_appearance_timestamp,observations.csv,eventEnd
first_appearance_timestamp,observations.csv,eventStart
file_media_type,observations.csv,fileMediatype
file_public,observations.csv,filePublic
capture_id,observations.csv,mediaID
id,observations.csv,observationID
observation_level,observations.csv,observationLevel
observation_type,observations.csv,observationType
determination_name,observations.csv,scientificName
